id,osm_id,source,target,length,foot,car_forward,car_backward,bike_forward,bike_backward,train,wkt
146834048-3,146834048,1600654627,2021897148,2.4072042097260153,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.9051560 52.3680303, 4.9051735 52.3680491)"
146834048-4,146834048,2021897148,1291474060,2.9446620203425184,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.9051735 52.3680491, 4.9051949 52.3680721)"
148003718-0,148003718,1611116432,1611116436,9.133855466433815,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(4.9048763 52.3688407, 4.9047648 52.3688865)"
148003718-1,148003718,1611116436,1611116434,51.23055237877809,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(4.9047648 52.3688865, 4.9042735 52.3690913, 4.9042232 52.3690970, 4.9041838 52.3690908, 4.9041286 52.3690676)"
148483003-0,148483003,1615783760,1615783753,12.801010183863873,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.9102155 52.3777665, 4.9102032 52.3778321, 4.9101288 52.3778504)"
148483004-0,148483004,1615783754,1615783760,7.968716966197353,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.9102098 52.3776950, 4.9102155 52.3777665)"
148804007-0,148804007,251769525,725239262,44.13428108093035,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.8961296 52.3705275, 4.8962363 52.3704987, 4.8967469 52.3704060)"
148804007-1,148804007,725239262,438497162,65.5772582126697,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.8967469 52.3704060, 4.8969711 52.3703638, 4.8976435 52.3701899)"
157682791-0,157682791,1291587431,7911865801,86.24852594143947,Allowed,Forbidden,Forbidden,Track,Forbidden,Forbidden,"LINESTRING(4.9102449 52.3714201, 4.9095260 52.3709288, 4.9094644 52.3708839, 4.9094154 52.3708349)"
157682791-1,157682791,7911865801,7911865800,8.674109288835755,Allowed,Forbidden,Forbidden,Track,Forbidden,Forbidden,"LINESTRING(4.9094154 52.3708349, 4.9093666 52.3707629)"
157909443-0,157909443,1721554072,1701401591,59.89242210264763,Allowed,Forbidden,Forbidden,Forbidden,Forbidden,Forbidden,"LINESTRING(4.8951176 52.3682918, 4.8956433 52.3684570, 4.8957351 52.3685605, 4.8957711 52.3686156)"
157924575-0,157924575,1701556287,1701643225,50.49920528558399,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.8980013 52.3710746, 4.8978935 52.3709298, 4.8979401 52.3709139, 4.8980119 52.3708876, 4.8981444 52.3710312, 4.8980784 52.3710535)"
157924575-1,157924575,1701643225,1701556287,5.7424565249743695,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.8980784 52.3710535, 4.8980013 52.3710746)"
157933827-0,157933827,1701643225,1701643226,11.92021095411712,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.8980784 52.3710535, 4.8981340 52.3711232, 4.8981564 52.3711494)"
158853700-0,158853700,1709904626,1906719693,9.594496507851604,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.8947285 52.3699643, 4.8947740 52.3699571, 4.8948670 52.3699481)"
160081702-0,160081702,1894543398,46371799,5.929912383190132,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.8959653 52.3685417, 4.8959928 52.3685321, 4.8960418 52.3685161)"
160081703-0,160081703,1894543400,1894543398,11.167894118385423,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.8958240 52.3685929, 4.8959653 52.3685417)"
164217707-0,164217707,605286073,3177570397,8.209696052587896,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.8918260 52.3690335, 4.8918490 52.3689611)"
164217707-1,164217707,3177570397,317419177,86.08672298700014,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.8918490 52.3689611, 4.8919271 52.3688052, 4.8921967 52.3683799, 4.8923147 52.3682435)"
164217709-0,164217709,1103396903,46372472,69.14549126477489,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(4.8887672 52.3683219, 4.8886617 52.3683510, 4.8885933 52.3683750, 4.8885411 52.3684039, 4.8881126 52.3687427, 4.8881138 52.3687739)"
164217711-0,164217711,605286073,154659161,6.217994984914076,Allowed,Forbidden,Forbidden,Track,Track,Forbidden,"LINESTRING(4.8918260 52.3690335, 4.8919169 52.3690398)"
164217711-1,164217711,154659161,4453282048,4.951043698698041,Allowed,Forbidden,Forbidden,Track,Track,Forbidden,"LINESTRING(4.8919169 52.3690398, 4.8919893 52.3690447)"
164217711-2,164217711,4453282048,4453282054,2.6901965212049466,Allowed,Forbidden,Forbidden,Track,Track,Forbidden,"LINESTRING(4.8919893 52.3690447, 4.8920109 52.3690459, 4.8920287 52.3690470)"
164217711-3,164217711,4453282054,46373762,5.0714740515371535,Allowed,Forbidden,Forbidden,Track,Track,Forbidden,"LINESTRING(4.8920287 52.3690470, 4.8921029 52.3690518)"
167355342-0,167355342,1291587510,8074735560,67.96294938882806,Forbidden,Forbidden,Forbidden,Busway,Forbidden,Forbidden,"LINESTRING(4.9034498 52.3756238, 4.9034358 52.3757512, 4.9034160 52.3758108, 4.9033903 52.3758625, 4.9033620 52.3759036, 4.9032224 52.3760441, 4.9031730 52.3760872, 4.9030845 52.3761520, 4.9030644 52.3761704)"
167355342-1,167355342,8074735560,1164978746,5.849486661317715,Forbidden,Forbidden,Forbidden,Busway,Forbidden,Forbidden,"LINESTRING(4.9030644 52.3761704, 4.9030166 52.3762141)"
167578007-0,167578007,3176714256,1789728489,6.049314231942183,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.8937229 52.3729829, 4.8936340 52.3729802)"
167578007-1,167578007,1789728489,1789728480,29.369996260916707,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.8936340 52.3729802, 4.8935535 52.3729610, 4.8934867 52.3729275, 4.8934401 52.3728831, 4.8934186 52.3728320, 4.8934240 52.3727793)"
167578007-2,167578007,1789728480,1789728476,35.002001883660945,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.8934240 52.3727793, 4.8934557 52.3727306, 4.8935104 52.3726902, 4.8935829 52.3726621, 4.8936660 52.3726490, 4.8937516 52.3726522, 4.8938315 52.3726714)"
167578007-3,167578007,1789728476,1789728483,22.304829239805247,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.8938315 52.3726714, 4.8938953 52.3727029, 4.8939409 52.3727445, 4.8939645 52.3727925, 4.8939637 52.3728426)"
167578007-4,167578007,1789728483,3176714256,24.195129207919106,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.8939637 52.3728426, 4.8939357 52.3728942, 4.8938821 52.3729375, 4.8938086 52.3729682, 4.8937229 52.3729829)"
167578008-0,167578008,46390544,1789728476,22.45293311782505,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.8939491 52.3724832, 4.8939124 52.3725561, 4.8938315 52.3726714)"
167578009-0,167578009,3176714864,3176532012,5.67719510155036,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.8931614 52.3725942, 4.8931862 52.3726429)"
167578009-1,167578009,3176532012,391370481,7.070832465676886,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.8931862 52.3726429, 4.8932184 52.3727033)"
167578010-0,167578010,391366890,1789728491,51.49296219217533,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.8927886 52.3727895, 4.8922663 52.3731246)"
167578010-1,167578010,1789728491,7731595976,56.10992085600515,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.8922663 52.3731246, 4.8918410 52.3735352, 4.8918263 52.3735494, 4.8918250 52.3735506)"
167578010-2,167578010,7731595976,3176834581,4.8056064600921795,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.8918250 52.3735506, 4.8917883 52.3735875)"
167578011-0,167578011,30441801,1789728483,34.55896229707036,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.8944474 52.3728977, 4.8944041 52.3729155, 4.8939637 52.3728426)"
